;Action;Name;Features;Service;Source;VR Instance;Destination;User;Schedule;QoS;IPS Policy;Usage
1;Block ;Block-NSM-to-datagroup;;ALL ALLIP, ECHO , TCP  *, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *;194.145.239.130 , 194.145.239.131 , 194.145.239.132;Source: default ;194.145.239.0/24 ;Any ;Always ;N.A. ;N.A. ;
2;Dst NAT 172.16.250.1,Client;NAT-DG-ES-to-DMVPN-HUB-1-IN;;UDP  500 , UDP  4500 , Ref: ICMP , Ref: ALL ALLIP, ECHO , TCP  *, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *, UDP  4500, UDP  500;195.244.239.177 , 195.244.239.178 , Ref: h-217.9.115.79-DES-Jena-1 , Ref: h-217.9.115.80-DES-Jena-2 , Ref: net-62.220.30.48-29-DES-Duesseldorf , Ref: net-213.30.232.80-29-DES-Frankfurt , Ref: net-91.103.117.8-29-DES-Boeblingen , Ref: net-82.135.46.120-29-DGES-Wuerzburg , Ref: net-213.61.119.216-29-DMVPN-DGkoeln , Ref: net-80.150.78.144-29-DGFIS-Duesseldorf , Ref: net-193-37-149-0-26_DG-KIT-WEB-Servers , Ref: net-195.63.202.128-27-DGHH 193.37.149.0/26, 195.244.239.177, 195.244.239.178, 195.63.202.128/27, 213.30.232.80/29, 213.61.119.216/29, 217.9.115.79, 217.9.115.80, 62.220.30.48/29, 80.150.78.144/29, 82.135.46.120/29, 91.103.117.8/29;Source: default Destination: default;194.145.239.1 ;Any ;Always ;No-Shaping ;Default ;
3;Dst NAT 172.16.250.2,Client;NAT-DG-ES-to-DMVPN-HUB-2-IN;;UDP  500 , UDP  4500 , Ref: ICMP , Ref: ALL ALLIP, ECHO , TCP  *, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *, UDP  4500, UDP  500;195.244.239.177 , 195.244.239.178 , Ref: h-217.9.115.79-DES-Jena-1 , Ref: h-217.9.115.80-DES-Jena-2 , Ref: net-62.220.30.48-29-DES-Duesseldorf , Ref: net-213.30.232.80-29-DES-Frankfurt , Ref: h-85.22.137.51-DES-Dortmund-Backup , Ref: net-91.103.117.8-29-DES-Boeblingen , Ref: net-82.135.46.120-29-DGES-Wuerzburg , Ref: net-213.61.119.216-29-DMVPN-DGkoeln , Ref: net-80.150.78.144-29-DGFIS-Duesseldorf , Ref: net-193-37-149-0-26_DG-KIT-WEB-Servers , Ref: net-5.147.244.184-29-DES-Dortmund , Ref: net-195.63.202.128-27-DGHH 193.37.149.0/26, 195.244.239.177, 195.244.239.178, 195.63.202.128/27, 213.30.232.80/29, 213.61.119.216/29, 217.9.115.79, 217.9.115.80, 5.147.244.184/29, 62.220.30.48/29, 80.150.78.144/29, 82.135.46.120/29, 85.22.137.51, 91.103.117.8/29;Source: default Destination: default;194.145.239.2 ;Any ;Always ;No-Shaping ;Default ;
4;Pass Explicit IP 194.145.239.1;NAT-DMVPN-to-DG-ES-HUB-1-OUT;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;172.16.250.1 ;Source: default Destination: default;195.244.239.177 , 195.244.239.178 , Ref: h-217.9.115.79-DES-Jena-1 , Ref: h-217.9.115.80-DES-Jena-2 , Ref: net-213.30.232.80-29-DES-Frankfurt , Ref: net-62.220.30.48-29-DES-Duesseldorf , Ref: net-82.135.46.120-29-DGES-Wuerzburg , Ref: net-213.61.119.216-29-DMVPN-DGkoeln , Ref: net-80.150.78.144-29-DGFIS-Duesseldorf , Ref: net-193-37-149-0-26_DG-KIT-WEB-Servers 193.37.149.0/26, 195.244.239.177, 195.244.239.178, 213.30.232.80/29, 213.61.119.216/29, 217.9.115.79, 217.9.115.80, 62.220.30.48/29, 80.150.78.144/29, 82.135.46.120/29;Any ;Always ;No-Shaping ;Default ;
5;Pass Explicit IP 194.145.239.2;NAT-DMVPN-to-DG-ES-HUB-2-OUT;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;172.16.250.2 ;Source: default Destination: default;195.244.239.177 , 195.244.239.178 , Ref: h-217.9.115.79-DES-Jena-1 , Ref: h-217.9.115.80-DES-Jena-2 , Ref: net-213.30.232.80-29-DES-Frankfurt , Ref: net-62.220.30.48-29-DES-Duesseldorf , Ref: h-85.22.137.51-DES-Dortmund-Backup , Ref: net-82.135.46.120-29-DGES-Wuerzburg , Ref: net-213.61.119.216-29-DMVPN-DGkoeln , Ref: net-80.150.78.144-29-DGFIS-Duesseldorf , Ref: net-193-37-149-0-26_DG-KIT-WEB-Servers , Ref: net-5.147.244.184-29-DES-Dortmund 193.37.149.0/26, 195.244.239.177, 195.244.239.178, 213.30.232.80/29, 213.61.119.216/29, 217.9.115.79, 217.9.115.80, 5.147.244.184/29, 62.220.30.48/29, 80.150.78.144/29, 82.135.46.120/29, 85.22.137.51;Any ;Always ;No-Shaping ;Default ;
6;Dst NAT 172.16.250.1,Client;NAT-DG-ES-to-DMVPN-BOE-1;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;Ref: net-91.103.117.8-29-DES-Boeblingen 91.103.117.8/29;Source: default Destination: default;194.145.239.1 ;Any ;Always ;No-Shaping ;Default ;
7;Dst NAT 172.16.250.2,Client;NAT-DG-ES-to-DMVPN-BOE-2;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;Ref: net-91.103.117.8-29-DES-Boeblingen 91.103.117.8/29;Source: default Destination: default;194.145.239.2 ;Any ;Always ;No-Shaping ;Default ;
8;Pass Explicit IP 194.145.239.1;NAT-DMVPN-to-DG-ES-BOE-1;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;172.16.250.1 ;Source: default Destination: default;Ref: net-91.103.117.8-29-DES-Boeblingen 91.103.117.8/29;Any ;Always ;No-Shaping ;Default ;
9;Pass Explicit IP 194.145.239.2;NAT-DMVPN-to-DG-ES-BOE-2;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;172.16.250.2 ;Source: default Destination: default;Ref: net-91.103.117.8-29-DES-Boeblingen 91.103.117.8/29;Any ;Always ;No-Shaping ;Default ;
10;Dst NAT 172.16.250.1,Client;NAT-DG-ES-to-DMVPN-DORT-1;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;Ref: net-5.147.244.184-29-DES-Dortmund 5.147.244.184/29;Source: default Destination: default;194.145.239.1 ;Any ;Always ;No-Shaping ;Default ;
