name,ip
Lo0.default.DOP-ROB-DECYO101,2a0c:ed80:0:ff:ffff:ffff:ffff:fffb
Eth1-1.default.DOP-ROB-DECYO101,2a0c:ed80:0:400::8
Eth1-1.default.DOP-ROB-DECYO101,2a0c:ed80:0:400::8
Eth1-2.default.DOP-ROB-DECYO101,2a0c:ed80:0:400::3
Eth1-3.default.DOP-ROB-DECYO101,2a0c:ed80:0:400::a
Eth1-10_3.default.DOP-ROB-DECYO101,2a0c:ed80:0:400::54
Lo3.DGES_DCI.DOP-ROB-DECYO101,2a0c:ed80:0:ff:ffff:ffff:ffff:5
Eth1-1_4.DGES_DCI.DOP-ROB-DECYO101,2a0c:ed80:0:400::4c
Eth1-2_4.DGES_DCI.DOP-ROB-DECYO101,2a0c:ed80:0:400::4e
Eth1-4.DGES_DCI.DOP-ROB-DECYO101,2a0c:ed80:0:400::62
Eth1-5.DGES_DCI.DOP-ROB-DECYO101,2a0c:ed80:0:400::64
Lo2.DG_INTERN.DOP-ROB-DECYO101,2a0c:ed80:0:ff:ffff:ffff:ffff:1
Eth1-1_3.DG_INTERN.DOP-ROB-DECYO101,2a0c:ed80:0:400::44
Eth1-2_3.DG_INTERN.DOP-ROB-DECYO101,2a0c:ed80:0:400::46
Eth1-6_3.DG_INTERN.DOP-ROB-DECYO101,2a0c:ed80:0:400::7a
Eth1-7_3.DG_INTERN.DOP-ROB-DECYO101,2a0c:ed80:0:400::7c
Eth1-8_3.DG_INTERN.DOP-ROB-DECYO101,2a0c:ed80:0:400::c4
Eth1-10_4.DG_INTERN.DOP-ROB-DECYO101,2a0c:ed80:0:400::56
Lo100.Service.DOP-ROB-DECYO101,2a0c:ed80:0:ff:ffff:ffff:ffff:fff5
Eth1-1_1.Service.DOP-ROB-DECYO101,2a0c:ed80:0:400::17
Eth1-2_1.Service.DOP-ROB-DECYO101,2a0c:ed80:0:400::11
Eth1-3_1.Service.DOP-ROB-DECYO101,2a0c:ed80:0:400::19
Eth1-6_2.Service.DOP-ROB-DECYO101,2a0c:ed80:0:400::3c
Eth1-7_2.Service.DOP-ROB-DECYO101,2a0c:ed80:0:400::3e
Eth1-8_1.Service.DOP-ROB-DECYO101,2a0c:ed80:0:400::c0
Eth1-10_2.Service.DOP-ROB-DECYO101,2a0c:ed80:0:400::25
Eth1-1_2.VRF-OoB.DOP-ROB-DECYO101,2a0c:ed80:1:301::4
Eth1-2_2.VRF-OoB.DOP-ROB-DECYO101,2a0c:ed80:1:301::c
Eth1-8_2.VRF-OoB.DOP-ROB-DECYO101,2a0c:ed80:1:301::8
Eth1-10_5.VRF-OoB.DOP-ROB-DECYO101,2a0c:ed80:1:301::e
Lo0.default.DOP-ROB-DECYO102,2a0c:ed80:0:ff:ffff:ffff:ffff:fffa
Eth1-1.default.DOP-ROB-DECYO102,2a0c:ed80:0:400::9
Eth1-2.default.DOP-ROB-DECYO102,2a0c:ed80:0:400::1
Eth1-10_3.default.DOP-ROB-DECYO102,2a0c:ed80:0:400::29
Lo3.DGES_DCI.DOP-ROB-DECYO102,2a0c:ed80:0:ff:ffff:ffff:ffff:6
Eth1-1_4.DGES_DCI.DOP-ROB-DECYO102,2a0c:ed80:0:400::4d
Eth1-2_4.DGES_DCI.DOP-ROB-DECYO102,2a0c:ed80:0:400::50
Eth1-4.DGES_DCI.DOP-ROB-DECYO102,2a0c:ed80:0:400::66
Eth1-5.DGES_DCI.DOP-ROB-DECYO102,2a0c:ed80:0:400::68
Lo2.DG_INTERN.DOP-ROB-DECYO102,2a0c:ed80:0:ff:ffff:ffff:ffff:2
Eth1-1_3.DG_INTERN.DOP-ROB-DECYO102,2a0c:ed80:0:400::45
Eth1-2_3.DG_INTERN.DOP-ROB-DECYO102,2a0c:ed80:0:400::48
Eth1-6_3.DG_INTERN.DOP-ROB-DECYO102,2a0c:ed80:0:400::7e
Eth1-7_3.DG_INTERN.DOP-ROB-DECYO102,2a0c:ed80:0:400::80
Eth1-10_4.DG_INTERN.DOP-ROB-DECYO102,2a0c:ed80:0:400::58
Lo100.Service.DOP-ROB-DECYO102,2a0c:ed80:0:ff:ffff:ffff:ffff:fff4
Eth1-1_1.Service.DOP-ROB-DECYO102,2a0c:ed80:0:400::16
Eth1-2_1.Service.DOP-ROB-DECYO102,2a0c:ed80:0:400::e
Eth1-6_2.Service.DOP-ROB-DECYO102,2a0c:ed80:0:400::40
Eth1-7_2.Service.DOP-ROB-DECYO102,2a0c:ed80:0:400::42
Eth1-10_2.Service.DOP-ROB-DECYO102,2a0c:ed80:0:400::23
Eth1-1_2.VRF-OoB.DOP-ROB-DECYO102,2a0c:ed80:1:301::5
Eth1-2_2.VRF-OoB.DOP-ROB-DECYO102,2a0c:ed80:1:301::2
Eth1-9.VRF-OoB.DOP-ROB-DECYO102,2a0c:ed80:1:302::2
Eth1-10_5.VRF-OoB.DOP-ROB-DECYO102,2a0c:ed80:1:301::10
Lo2.DG_INTERN.DOP-ROB-DEDUS101,2a0c:ed80:0:ff:ffff:ffff:ffff:9
Eth1-8_3.DG_INTERN.DOP-ROB-DEDUS101,2a0c:ed80:0:400::c3
Lo100.Service.DOP-ROB-DEDUS101,2a0c:ed80:0:ff:ffff:ffff:ffff:fffa
Eth1-8_1.Service.DOP-ROB-DEDUS101,2a0c:ed80:0:400::bf
Eth1-8_2.VRF-OoB.DOP-ROB-DEDUS101,2a0c:ed80:1:301::b
