ip	name
10.110.1.254	Lo0.default.DOP-ROB-DECYO101
10.110.1.100	Lo1.default.DOP-ROB-DECYO101
100.100.100.100	Lo4.default.DOP-ROB-DECYO101
10.110.8.17	Po1111.default.DOP-ROB-DECYO101
10.110.8.2	Eth1-1.default.DOP-ROB-DECYO101
10.110.8.8	Eth1-2.default.DOP-ROB-DECYO101
10.110.8.14	Eth1-3.default.DOP-ROB-DECYO101
100.64.251.0	Eth1-10_3.default.DOP-ROB-DECYO101
10.110.10.16	Eth1-35.default.DOP-ROB-DECYO101
10.110.10.22	Eth1-36.default.DOP-ROB-DECYO101
100.70.1.9	Lo3.DGES_DCI.DOP-ROB-DECYO101
100.70.1.0	Eth1-1_4.DGES_DCI.DOP-ROB-DECYO101
100.70.1.2	Eth1-2_4.DGES_DCI.DOP-ROB-DECYO101
100.70.1.16	Eth1-4.DGES_DCI.DOP-ROB-DECYO101
100.70.1.18	Eth1-5.DGES_DCI.DOP-ROB-DECYO101
100.70.1.36	Eth1-6_4.DGES_DCI.DOP-ROB-DECYO101
100.70.1.38	Eth1-7_4.DGES_DCI.DOP-ROB-DECYO101
100.64.252.9	Lo2.DG_INTERN.DOP-ROB-DECYO101
100.64.252.0	Eth1-1_3.DG_INTERN.DOP-ROB-DECYO101
100.64.252.2	Eth1-2_3.DG_INTERN.DOP-ROB-DECYO101
100.64.252.32	Eth1-6_3.DG_INTERN.DOP-ROB-DECYO101
100.64.252.34	Eth1-7_3.DG_INTERN.DOP-ROB-DECYO101
100.64.252.74	Eth1-8_3.DG_INTERN.DOP-ROB-DECYO101
100.64.252.24	Eth1-10_4.DG_INTERN.DOP-ROB-DECYO101
100.70.3.33	Lo5.OPS-MGMT.DOP-ROB-DECYO101
100.70.3.0	Eth1-1_5.OPS-MGMT.DOP-ROB-DECYO101
100.70.3.2	Eth1-2_5.OPS-MGMT.DOP-ROB-DECYO101
100.70.3.8	Eth1-3_5.OPS-MGMT.DOP-ROB-DECYO101
100.70.3.20	Eth1-10_6.OPS-MGMT.DOP-ROB-DECYO101
10.110.1.242	Lo100.Service.DOP-ROB-DECYO101
100.64.254.2	Eth1-1_1.Service.DOP-ROB-DECYO101
100.64.254.8	Eth1-2_1.Service.DOP-ROB-DECYO101
100.64.254.14	Eth1-3_1.Service.DOP-ROB-DECYO101
100.64.253.20	Eth1-6_2.Service.DOP-ROB-DECYO101
100.64.253.22	Eth1-7_2.Service.DOP-ROB-DECYO101
100.64.254.130	Eth1-8_1.Service.DOP-ROB-DECYO101
100.64.253.17	Eth1-10_2.Service.DOP-ROB-DECYO101
100.70.5.17	Lo600.TOOLS.DOP-ROB-DECYO101
100.70.5.0	Eth1-1_6.TOOLS.DOP-ROB-DECYO101
100.70.5.2	Eth1-2_6.TOOLS.DOP-ROB-DECYO101
100.70.5.8	Eth1-3_6.TOOLS.DOP-ROB-DECYO101
100.70.5.28	Eth1-10_7.TOOLS.DOP-ROB-DECYO101
10.110.9.2	Eth1-1_2.VRF-OoB.DOP-ROB-DECYO101
10.110.9.8	Eth1-2_2.VRF-OoB.DOP-ROB-DECYO101
10.110.9.14	Eth1-3_2.VRF-OoB.DOP-ROB-DECYO101
10.110.9.144	Eth1-8_2.VRF-OoB.DOP-ROB-DECYO101
10.110.9.130	Eth1-10_5.VRF-OoB.DOP-ROB-DECYO101
10.110.1.253	Lo0.default.DOP-ROB-DECYO102
10.110.1.101	Lo1.default.DOP-ROB-DECYO102
10.110.8.19	Po1111.default.DOP-ROB-DECYO102
10.110.8.3	Eth1-1.default.DOP-ROB-DECYO102
10.110.8.10	Eth1-2.default.DOP-ROB-DECYO102
100.64.251.2	Eth1-10_3.default.DOP-ROB-DECYO102
10.110.10.18	Eth1-35.default.DOP-ROB-DECYO102
10.110.10.20	Eth1-36.default.DOP-ROB-DECYO102
100.70.1.10	Lo3.DGES_DCI.DOP-ROB-DECYO102
100.70.1.1	Eth1-1_4.DGES_DCI.DOP-ROB-DECYO102
100.70.1.4	Eth1-2_4.DGES_DCI.DOP-ROB-DECYO102
