
Eth1-28_2.service.DOP-SWS-DECYO001,2a0c:ed80:0:400::24
Eth1-28_2.service.DOP-SWS-DECYO002,2a0c:ed80:0:400::22
Eth1-28_2.service.DOP-SWS-DEIXN001,2a0c:ed80:0:400::1e
Eth1-28_2.service.DOP-SWS-DEIXN002,2a0c:ed80:0:400::20
Eth1-28_3.backbone_default.DOP-SWS-DECYO001,2a0c:ed80:0:400::55
Eth1-28_3.backbone_default.DOP-SWS-DECYO002,2a0c:ed80:0:400::28
Eth1-28_3.backbone_default.DOP-SWS-DEIXN001,2a0c:ed80:0:400::5f
Eth1-28_3.backbone_default.DOP-SWS-DEIXN002,2a0c:ed80:0:400::61
Eth1-28_4.dop_intern.DOP-SWS-DECYO001,2a0c:ed80:0:400::57
Eth1-28_4.dop_intern.DOP-SWS-DECYO002,2a0c:ed80:0:400::59
Eth1-28_4.dop_intern.DOP-SWS-DEIXN001,2a0c:ed80:0:400::5b
Eth1-28_4.dop_intern.DOP-SWS-DEIXN002,2a0c:ed80:0:400::5d
Eth1-28_5.oob.DOP-SWS-DECYO001,2a0c:ed80:1:301::f
Eth1-28_5.oob.DOP-SWS-DECYO002,2a0c:ed80:1:301::11
Eth1-28_5.oob.DOP-SWS-DEIXN001,2a0c:ed80:1:301::13
Eth1-28_5.oob.DOP-SWS-DEIXN002,2a0c:ed80:1:301::15
Vlan2103.backbone_default.Anycast.Fabric,2a0c:ed80:0:400::2a
Vlan3005.dop_intern.Anycast.Fabric,2a0c:ed80:0:400::99
Vlan3007.service.Anycast.Fabric,2a0c:ed80:0:201::110
Vlan3013.dop_intern.Anycast.Fabric,2a0c:ed80:0:400::9d
Vlan3015.dop_intern.Anycast.Fabric,2a0c:ed80:0:400::a5
Vlan3016.service.Anycast.Fabric,2a0c:ed80:0:400::96
Vlan3020.service.Anycast.Fabric,2a0c:ed80:0:400::ad
Vlan3021.service.Anycast.Fabric,2a0c:ed80:0:400::aa
Vlan3022.service.Anycast.Fabric,2a0c:ed80:0:400::af
Vlan3024.service.Anycast.Fabric,2a0c:ed80:0:400::b2
Vlan3025.service.Anycast.Fabric,2a0c:ed80:0:400::a3
Vlan3027.service.Anycast.Fabric,2a0c:ed80:0:404::1
Vlan3028.service.Anycast.Fabric,2a0c:ed80:0:400::b4
Vlan3029.service.Anycast.Fabric,2a0c:ed80:0:400::b6
Vlan3032.dop_intern.Anycast.Fabric,2a0c:ed80:0:400::b8
Vlan3036.service.Anycast.Fabric,2a0c:ed80:0:400::9b
Vlan3043.service.Anycast.Fabric,2a0c:ed80:0:400::ba
Vlan3045.service.Anycast.Fabric,2a0c:ed80:0:400::bc
Vlan3047.service.Anycast.Fabric,2a0c:ed80:0:400::c6
Vlan3049.service.Anycast.Fabric,2a0c:ed80:0:400::c8
Vlan3052.service.Anycast.Fabric,2a0c:ed80:0:400::ca
Vlan3053.service.Anycast.Fabric,2a0c:ed80:0:400::93
Vlan3055.service.Anycast.Fabric,2a0c:ed80:0:400::cc
Vlan3063.service.Anycast.Fabric,2a0c:ed80:0:400::ce
Vlan3064.service.Anycast.Fabric,2a0c:ed80:0:400::d0
Vlan3065.service.Anycast.Fabric,2a0c:ed80:0:400::d2
Vlan3066.lam.Anycast.Fabric,2a0c:ed80:0:400::d4
Vlan3066.service.Anycast.Fabric,2a0c:ed80:0:400::d4
Vlan3067.service.Anycast.Fabric,2a0c:ed80:0:400::d6
Vlan3069.service.Anycast.Fabric,2a0c:ed80:0:400::d8
Vlan3070.service.Anycast.Fabric,2a0c:ed80:0:400::da
Vlan3071.mpls.Anycast.Fabric,2a0c:ed80:0:400::e2
Vlan3071.service.Anycast.Fabric,2a0c:ed80:0:400::e2
Vlan3072.service.Anycast.Fabric,2a0c:ed80:0:400::dc
