
Eth1-1.default.DOP-SWS-DECYO001,10.110.128.7
Eth1-1.default.DOP-SWS-DECYO002,10.110.128.3
Eth1-1.default.DOP-SWS-DEIXN001,10.110.130.5
Eth1-1.default.DOP-SWS-DEIXN002,10.110.130.7
Eth1-2.default.DOP-SWS-DECYO001,10.110.128.5
Eth1-2.default.DOP-SWS-DECYO002,10.110.128.9
Eth1-2.default.DOP-SWS-DEIXN001,10.110.130.3
Eth1-2.default.DOP-SWS-DEIXN002,10.110.130.1
Eth1-28_2.service.DOP-SWS-DECYO001,100.64.253.16
Eth1-28_2.service.DOP-SWS-DECYO002,100.64.253.18
Eth1-28_2.service.DOP-SWS-DEIXN001,100.64.253.10
Eth1-28_2.service.DOP-SWS-DEIXN002,100.64.253.12
Eth1-28_3.backbone_default.DOP-SWS-DECYO001,100.64.251.1
Eth1-28_3.backbone_default.DOP-SWS-DECYO002,100.64.251.3
Eth1-28_3.backbone_default.DOP-SWS-DEIXN001,100.64.251.5
Eth1-28_3.backbone_default.DOP-SWS-DEIXN002,100.64.251.7
Eth1-28_4.dop_intern.DOP-SWS-DECYO001,100.64.252.25
Eth1-28_4.dop_intern.DOP-SWS-DECYO002,100.64.252.27
Eth1-28_4.dop_intern.DOP-SWS-DEIXN001,100.64.252.29
Eth1-28_4.dop_intern.DOP-SWS-DEIXN002,100.64.252.31
Eth1-28_5.oob.DOP-SWS-DECYO001,10.110.9.131
Eth1-28_5.oob.DOP-SWS-DECYO002,10.110.9.133
Eth1-28_5.oob.DOP-SWS-DEIXN001,10.110.9.135
Eth1-28_5.oob.DOP-SWS-DEIXN002,10.110.9.137
Eth1-28_6.ops-mgmt.DOP-SWS-DECYO001,100.70.3.21
Eth1-28_6.ops-mgmt.DOP-SWS-DECYO002,100.70.3.23
Eth1-28_6.ops-mgmt.DOP-SWS-DEIXN001,100.70.3.25
Eth1-28_6.ops-mgmt.DOP-SWS-DEIXN002,100.70.3.27
Eth1-28_7.erspan.DOP-SWS-DECYO001,100.70.5.29
Eth1-28_7.erspan.DOP-SWS-DECYO002,100.70.5.31
Eth1-28_7.erspan.DOP-SWS-DEIXN001,100.70.5.25
Eth1-28_7.erspan.DOP-SWS-DEIXN002,100.70.5.27
Eth1-3.default.DOP-SWS-DECYO001,10.110.128.15
Eth1-3.default.DOP-SWS-DECYO002,10.110.128.13
Eth1-3.default.DOP-SWS-DEIXN001,10.110.130.13
Eth1-3.default.DOP-SWS-DEIXN002,10.110.130.11
Eth1-31.default.DOP-SWS-DECYO001,10.110.10.17
